CustomerID,CustomerName,CreateDate
100043740,* ACOUSTICS INC.,11/12/2004
100043803,* ADVANTAGE LEGAL GROUP,23-04-2004
100043804,* TEAM NISSAN,12/4/2004
100043807,#NAME?,
100043856,#NAME?,
100043862,"1 MONARCH DR_IMAGE STREAM MEDICAL, INC.",
100043872,101 Constitution Trust,
100043895,111 N BROADWAY-OFC-Midwest Management Inc,
100043913,1205 -SDWAN -R12-3-26,
100043926,1208-R12 EDI BI,
100043936,1216 EPL Provide WUAT,
100043953,1218-sbae provide -3-23,
100043977,13.1 Test of Rejection Reason,
100043987,13022SIPOrder Inc.,
100043991,"1360 Rail Head, LLC",
100044009,13mayhqmm,
100044042,151 FOODS INC,
100044051,158 W GAY ST ODS KPI,
100044097,1ST AMERICAN MANAGEMENT,
100044127,1ST PREFERRED TECH - A V,
100044146,1stJuneIndirectCompany,
100044172,2.ink Studio,
100044173,"211 TERRY OWNERS, INC",
100044191,"2189 Holding, LLC",
100044197,229 EAST ST LLC,
100044203,25thDemoComp,
100044208,2R'NEW1 LLC,
100044212,3 DOGS PROPERTIES LLC,
100044217,3 FLOYDS BREWING CO,
100044224,3 MONTH PROMO_FINANCE,
100044225,300 EUROPEAN CONDOS,
100044226,30_BANs_Test,
100044236,371083_retest,
100044246,"3D Scan IT, Inc",
100044253,3D at Depth,
100044257,400 SOUTH MAIN LLC,
100044267,413574_reproduce,
100044269,425838_defect,
100044271,437159_reproduce,
100044273,4550 N POINT PKWY_STONEBRANCH INC,
100044275,4PX,
100044282,5600 BIG CANON DR,
100044291,6 Smith,
100044300,6/3/2021 15:30,
100044306,6/3/2021 16:07,
100044308,6/4/2021 17:10,
100044311,6/4/2021 17:19,
100044326,614 BUILDING LLC,
100044339,6May EPL,
100044340,800 E Business Center Dr,
100044360,8I,
100044373,8thJuneIndirect,
100044382,99 BOTTLES TAPROOM-BOTTLE SHOP,
100044388,A & R Mechanical,
100044392,A & S AUTO SALES,
100044394,A Place of Change,
100044431,A1OVERHEADDOORS,
100044432,"AA MARBLE AND GRANITE, LLC. DBA ANDREWS AND ASSOCIATES",
100044433,"AAA Refrigeration Service, Inc.",
100044455,AAA-ACME RUBBER CO,
100044458,AAD_RO_1624866895,
100044461,AAD_SW_1624944921,
100044466,AAQ_JZ_1622446610,
100044481,AAR Corp,
100044483,AAUTMTestR13,
100044486,AAZ_TE_1626669888,
100044492,ABC,
100044500,ABC PEDIATRIC GROUP,
100044509,ABC PLUMBING,
100044524,ABCD,
100044530,ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ,
100044609,ABCD_DUPLICATE_14-JUN-21,
100044902,ABCSd,
100044953,ABCSeqwe,
100044955,ABC_123,
100044970,ABH_SS_1620884306,
100044972,ABM,
100044982,ABN_EC_1621579438,
100044987,ABY_SC_1625044401,
100044990,ACCENT SIGN & AWNING COMPANY,
100044994,ACCUTECH PACKAGING,
100044995,ACD_BVE_06042021,
100044999,ACD_CNA_290421,
100045002,ACD_CNA_30042021,
100045006,ACD_EDI_CNA_290421,
100045008,ACD_EPL_PR_060421,
100045031,ACD_WLAN_03042021,
100045038,ACE COMPUTERS,
100045055,ACE HARDWARE,
100045100,ACE_WM_1624417686,
100045138,ACJ_OK_1621488944,
100045144,ACK LLC,
100045146,ACOSTA NURSERY OF DADE INC,
100045168,ACP_HR_1624620545,
100045173,ADAPTIVE BIOTECHNOLOGIES CORP,
100045180,ADEBAYOUTMTEST,
100045184,ADQ_FP_1621168701,
100045237,ADSEAFS,
100045247,ADSERO IP,
100145330,ADV-SDWAN,
100145332,,
100145402,,
100145453,,
100145454,,
100145477,,
100145520,,
100145547,,
100145583,,
100145645,,
130000005,,
130000059,,
130000067,,
130000071,,
130000075,,
130000079,,
130000081,,
130000111,,
130000123,,
130000127,,
130000133,,
130000135,,
130000143,,
130000151,,
130000155,,
130000160,,
130000161,,
130000180,,
130000206,,
130000229,,
130000239,,
130000254,,
130000282,,
130000300,,
130000302,,
130000306,,
130000382,,
130000489,,
130000491,,
130000507,,
130000511,,
130000514,,
130000519,,
130000520,,
130130612,,
130130648,,
130130770,,
130130841,,
130261208,,
130261217,,
130261219,,
130261457,,
130261532,,
130261574,,
130261752,,
130261925,,
130261986,,
130261992,,
130261997,,
130262004,,
130262006,,
130262020,,
130262021,,
130262023,,
130262028,,
130262096,,
130262129,,
130262131,,
130262133,,
130262136,,
130262139,,
130262146,,
130262149,,
130262150,,
130262152,,
130262164,,
130262166,,
130262238,,
130262288,,
130262298,,
130262333,,
130262334,,
130262337,,
130262339,,
130262341,,
130262343,,
130262353,,
130262364,,
130262368,,
130262435,,
130262438,,
130262443,,
130262448,,
130262451,,
130262461,,
130262481,,
130262487,,
130262497,,
130262580,,
130262587,,
130262620,,
